Date,product_percents_prediction
05/10/2018 00:00,3.532596154
05/10/2018 00:30,3.532551282
05/10/2018 01:00,3.53250641
05/10/2018 01:30,3.532461538
05/10/2018 02:00,3.532416667
05/10/2018 02:30,3.532371795
05/10/2018 03:00,3.532326923
05/10/2018 03:30,3.532282051
05/10/2018 04:00,3.532237179
05/10/2018 04:30,3.532192308
05/10/2018 05:00,3.532147436
05/10/2018 05:30,3.532102564
05/10/2018 06:00,3.532057692
05/10/2018 06:30,3.532012821
05/10/2018 07:00,3.531967949
05/10/2018 07:30,3.531923077
05/10/2018 08:00,3.531878205
05/10/2018 08:30,3.531833333
05/10/2018 09:00,3.531788462
05/10/2018 09:30,3.53174359
05/10/2018 10:00,3.531698718
05/10/2018 10:30,3.531653846
05/10/2018 11:00,3.531608974
05/10/2018 11:30,3.531564103
05/10/2018 12:00,3.531519231
05/10/2018 12:30,3.531474359
05/10/2018 13:00,3.531429487
05/10/2018 13:30,3.531384615
05/10/2018 14:00,3.531339744
05/10/2018 14:30,3.531294872
05/10/2018 15:00,3.53125
05/10/2018 15:30,3.531205128
05/10/2018 16:00,3.531160256
05/10/2018 16:30,3.531115385
05/10/2018 17:00,3.531070513
05/10/2018 17:30,3.531025641
05/10/2018 18:00,3.530980769
05/10/2018 18:30,3.530935897
05/10/2018 19:00,3.530891026
05/10/2018 19:30,3.530846154
05/10/2018 20:00,3.530801282
05/10/2018 20:30,3.53075641
05/10/2018 21:00,3.530711538
05/10/2018 21:30,3.530666667
05/10/2018 22:00,3.530621795
05/10/2018 22:30,3.530576923
05/10/2018 23:00,3.530532051
05/10/2018 23:30,3.530487179
06/10/2018 00:00,3.530442308
06/10/2018 00:30,3.530397436
06/10/2018 01:00,3.530352564
06/10/2018 01:30,3.530307692
06/10/2018 02:00,3.530262821
06/10/2018 02:30,3.530217949
06/10/2018 03:00,3.530173077
06/10/2018 03:30,3.530128205
06/10/2018 04:00,3.530083333
06/10/2018 04:30,3.530038462
06/10/2018 05:00,3.52999359
06/10/2018 05:30,3.529948718
06/10/2018 06:00,3.529903846
06/10/2018 06:30,3.529858974
06/10/2018 07:00,3.529814103
06/10/2018 07:30,3.529769231
06/10/2018 08:00,3.529724359
06/10/2018 08:30,3.529679487
06/10/2018 09:00,3.529634615
06/10/2018 09:30,3.529589744
06/10/2018 10:00,3.529544872
06/10/2018 10:30,3.5295
06/10/2018 11:00,3.529455128
06/10/2018 11:30,3.529410256
06/10/2018 12:00,3.529365385
06/10/2018 12:30,3.529320513
06/10/2018 13:00,3.529275641
